City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,cromer,52.9312,1.2989,10.0,69,33,5.54,GB,1697503620
337,parkes,-33.1333,148.1833,21.31,25,1,0.89,AU,1697503620
338,sinop,41.7711,34.8709,8.88,84,100,1.75,TR,1697503620
339,lashkar gah,31.5938,64.3716,13.12,30,0,1.71,AF,1697503621
340,airdrie,55.866,-3.9803,4.82,96,4,0.79,GB,1697503621
341,bandarbeyla,9.4942,50.8122,26.39,82,8,2.32,SO,1697503621
342,east end,34.5507,-92.341,16.84,68,0,2.04,US,1697503622
343,tarko-sale,64.9225,77.785,1.67,83,100,2.24,RU,1697503622
344,isola di capo rizzuto,38.96,17.0933,19.55,74,21,0.29,IT,1697503622
345,corn island,12.1694,-83.0418,29.62,74,100,5.03,NI,1697503622
346,happy valley-goose bay,53.3168,-60.3315,2.17,75,75,4.63,CA,1697503623
347,rosarito,32.3333,-117.0333,25.51,73,26,2.19,MX,1697503623
348,mana,5.6592,-53.7767,27.13,86,34,3.99,GF,1697503624
349,rifle,39.5347,-107.7831,22.33,31,0,0.0,US,1697503624
350,hotan,37.0997,79.9269,15.26,25,100,1.01,CN,1697503624
351,tynda,55.1667,124.7167,-2.88,61,100,1.27,RU,1697503624
352,new norfolk,-42.7826,147.0587,17.18,36,10,1.75,AU,1697503625
353,robertsport,6.7533,-11.3686,25.57,85,100,3.15,LR,1697503625
354,mali,12.079,-12.2982,16.14,88,8,1.32,GN,1697503625
355,antsiranana,-12.2787,49.2917,23.56,78,72,2.73,MG,1697503625
356,machico,32.7,-16.7667,24.84,79,20,1.54,PT,1697503626
357,el charco,2.4769,-78.1105,24.73,92,100,1.15,CO,1697503626
358,acapulco de juarez,16.8634,-99.8901,28.9,84,100,2.57,MX,1697503330
359,the pas,53.8251,-101.2541,11.01,66,0,0.0,CA,1697503627
360,gaalkacyo,6.7697,47.4308,26.66,67,24,3.35,SO,1697503627
361,sao marcos,-28.9711,-51.0681,16.98,100,100,2.73,BR,1697503627
362,general conesa,-40.1,-64.4333,11.6,41,2,4.49,AR,1697503628
363,kailua-kona,19.6406,-155.9956,28.98,78,20,5.14,US,1697503561
364,darwin,-12.4611,130.8418,32.16,62,20,2.57,AU,1697503243
365,kolda,12.8833,-14.95,28.17,94,75,3.09,SN,1697503628
366,saint-pierre,-21.3393,55.4781,23.82,73,100,1.54,RE,1697503629
